upuq  u-'puq
siziqini  sI-zI-qI-'nI
boylap  boj-'Lap
yéyilğan  j@-jIL-'Gan
keçki  ketS-'kI
şepeq  Se-'peq
goya  go-'ja
uniñğa  u-nIN-'Ga
köz  k@'z
qisip  qI-'sIp
erkilevatqandek  er-kI-Le-vat-qan-'dek
tuyulatti  tu-ju-Lat-'tI
boldi  boL-'dI
bek  bek
tola  to-'La
sözlep  s@'z-'Lep
kettiñ  ket-'tIN
qop  qop
hazirçe  ha-zIr-'tSe
kamirğa  ka-mIr-'Ga
kirip  kI-'rIp
ket  ket
qalğan  qaL-'Gan
gepni  gep-'nI
kéyin  k@-'jIn
déyişimizdidi  d@-jI-SI-mIz-dI-'dI
türme  tyr-'me
saqçisi  saq-tSI-'sI
gerçe  ger-'tSe
cem'iyetke  dZem-'I-jet-'ke
qaritilğan  qa-rI-tIL-'Gan
teşviqatta  teS-vI-qat-'ta
késelni  k@-seL-'nI
yoşuruş  jo-Su-'ruS
usuli  u-su-'LI
qollinilip  qoL-LI-nI-'LIp
xelq  xeLq
vaqtinçe  vaq-tIn-'tSe
tutup  tu-'tup
turuluvatqan  tu-ru-Lu-vat-'qan
bolsimu  boL-sI-'mu
lékin  L@-'kIn
iştanğa  IS-tan-'Ga
çiqqan  tSIq-'qan
köñülge  k@'-NyL-'ge
tayin  ta-'jIn
dégendek  d@-gen-'dek
üç  ytS
vilayetniñ  vI-La-jet-'nIN
azad  a-'zad
qilinğanliqi  qI-LIn-Gan-LI-'qI
ve  ve
milliy  mIL-'LIj
armiyiniñ  ar-mI-jI-'nIN
pat  pat
arida  a-rI-'da
liniyige  LI-nI-jI-'ge
bölünüp  b@'-Ly-'nyp
alte  aL-'te
şeherge  Se-her-'ge
qarap  qa-'rap
yolğa  joL-'Ga
çiqidiğanliqi  tSI-qI-dI-Gan-LI-'qI
heqqidiki  heq-qI-dI-'kI
içki  ItS-'kI
xeverlerdin  xe-ver-Ler-'dIn
alliqaçan  aL-LI-qa-'tSan
xever  xe-'ver
tapqan  tap-'qan
xékécañ  x@-k@-'dZaN
şu  Su
tapta  tap-'ta
aççiq  atS-'tSIq
tamaka  ta-ma-'ka
isi  I-'sI
bilen  bI-'Len
tolup  to-'Lup
ketken  ket-'ken
işxanida  IS-xa-nI-'da
közlirini  k@'z-LI-rI-'nI
turusqa  tu-rus-'qa
tikkiniçe  tIk-kI-nI-'tSe
meyüs  me-'jys
olturatti  oL-tu-rat-'tI
exmet  ex-'met
traktorni  trak-tor-'nI
ot  ot
aldurup  aL-du-'rup
cipniñ  dZIp-'nIN
aldiğa  aL-dI-'Ga
ekilip  e-kI-'LIp
toxtatti  tox-tat-'tI
hemde  hem-'de
unimiğinimğa  u-nI-mI-GI-nIm-'Ga
qarimay  qa-rI-'maj
bokyurni  bok-jur-'nI
qolumdin  qo-Lum-'dIn
élip  @-'LIp
özi  @'-'zI
çatti  tSat-'tI
şundaq  Sun-'daq
qilip  qI-'LIp
axiri  a-xI-'rI
çiqtuq  tSIq-'tuq
uqup  u-'qup
qoyğinki  qoj-GIn-'kI
bu  bu
diktatura  dIk-ta-tu-'ra
orgini  or-gI-'nI
sendek  sen-'dek
kospuruçlarniñ  kos-pu-rutS-Lar-'nIN
cacisini  dZa-dZI-sI-'nI
béridiğan  b@-rI-dI-'Gan
yer  jer
qéni  q@-'nI
gep  gep
qile  qI-'Le
su  su
burni  bur-'nI
bolmisa  boL-mI-'sa
poq  poq
yeydiğan  jej-dI-'Gan
kalva  kaL-'va
gayit  ga-'jIt
şucini  Su-dZI-'nI
öltürüşke  @'L-ty-ryS-'ke
urunğiniñ  u-run-GI-'nIN
néme  n@-'me
üçün  y-'tSyn
öltürmekçi  @'L-tyr-mek-'tSI
bolğanliqiñni  boL-Gan-LI-qIN-'nI
qaldurmay  qaL-dur-'maj
sözle  s@'z-'Le
uruq  u-'ruq
tuğqan  tuG-'qan
qolum  qo-'Lum
qoşniliriğa  qoS-nI-LI-rI-'Ga
xuşamet  xu-Sa-'met
yalvurup  jaL-vu-'rup
yürüp  jy-'ryp
az  az
bir  bIr
mezgil  mez-'gIL
qisim  qI-'sIm
yağlirini  jaG-LI-rI-'nI
sataliğan  sa-ta-LI-'Gan
istémal  Is-t@-'maL
qilsa  qIL-'sa
ademniñ  a-dem-'nIN
köñlini  k@'N-LI-'nI
élişturup  @-LIS-tu-'rup
qusqisini  qus-qI-sI-'nI
keltüridiğan  keL-ty-rI-dI-'Gan
yağni  jaG-'nI
axir  a-'xIr
bérip  b@-'rIp
tuğqanlirimu  tuG-qan-LI-rI-'mu
almay  aL-'maj
qoydi  qoj-'dI
uniñ  u-'nIN
melikisi  me-LI-kI-'sI
qattiq  qat-'tIq
rencidi  ren-dZI-'dI
bayiqi  ba-jI-'qI
xumarlaşqan  xu-mar-LaS-'qan
közliri  k@'z-LI-'rI
birdinla  bIr-dIn-'La
hoquş  ho-'quS
közige  k@'-zI-'ge
özgergendek  @'z-ger-gen-'dek
de  de
xiñ  xIN
depla  dep-'La
öydin  @'j-'dIn
ğayip  Ga-'jIp
u  u
emdi  em-'dI
melğunğila  meL-Gun-GI-'La
aylinip  aj-LI-'nIp
idi  I-'dI
deldeñşip  deL-deN-'SIp
dogcup  dog-'dZup
teritige  te-rI-tI-'ge
teste  tes-'te
çiqidiğanliqini  tSI-qI-dI-Gan-LI-qI-'nI
hésabqa  h@-sab-'qa
almiğanda  aL-mI-Gan-'da
kün  kyn
tünlirini  tyn-LI-rI-'nI
yétiş  j@-'tIS
bilenla  bI-Len-'La
ötküzidiğan  @'t-ky-zI-dI-'Gan
bolup  bo-'Lup
qaldi  qaL-'dI
toñup  to-'Nup
kettim  ket-'tIm
undaq  un-'daq
qilmay  qIL-'maj
işikni  I-SIk-'nI
éçivétiña  @-tSI-v@-tI-'Na
didi  dI-'dI
keçte  ketS-'te
qarisam  qa-rI-'sam
siz  sIz
orniñizda  or-nI-NIz-'da
yoq  joq
ikensiz  I-ken-'sIz
neg  neg
ketkendu  ket-ken-'du
dep  dep
oylidim  oj-LI-'dIm
men  men
köñlüm  k@'N-'Lym
ğeş  GeS
halda  haL-'da
aldimdiki  aL-dIm-dI-'kI
konvirit  kon-vI-'rIt
qeğez  qe-'Gez
qelemlerni  qe-Lem-Ler-'nI
yiğişturuşqa  jI-GIS-tu-ruS-'qa
başlidim  baS-LI-'dIm
kélin  k@-'LIn
kirgili  kIr-gI-'LI
ikki  Ik-'kI
yil  jIL
yildin  jIL-'dIn
buyan  bu-'jan
öyniñ  @'j-'nIN
hemme  hem-'me
éğir  @-'GIr
yénik  j@-'nIk
işliri  IS-LI-'rI
méniñ  m@-'nIN
zémmimde  z@m-mIm-'de
érim  @-'rIm
sirtqa  sIrt-'qa
iş  IS
kötüre  k@'-ty-'re
tamçiliq  tam-tSI-'LIq
qilidu  qI-LI-'du
